name,brand,category,description,unit,quantity,servings,flavors,benefits,allergens,certifications,dosage,priceRetail,pricePurchase,priceWholesale,priceSlashed,stock,featured,metaTitle,metaDescription
Maca - 90 Capsules,Real Pharm,sante-bien-etre,"Maca de Real Pharm est un complément de nutrition sportive de haute qualité conçu pour vous aider à atteindre vos objectifs fitness. Que vous soyez débutant ou athlète confirmé en Tunisie, ce produit vous apporte les nutriments essentiels pour performer et progresser. 🎯 Bénéfices Clés de Maca ✅ V...",gélule,90.0,45,Sans saveur (gélule),"Vitalité libido amélioration 42-65% études cliniques, Énergie générale augmentée endurance quotidienne, Performance sexuelle masculine soutien hormonal naturel, Adaptogène stress réduction cortisol régulation, Fertilité masculine support spermatogenèse, Confiance mentale bien-être général amélioration, Format 90 gélules 45 portions cure longue-terme","CONTIENT: Gélatine bovine (non-végétarien). Traces possibles: GLUTEN, SOJA (atelier partagé). SANS: colorants synthétiques, conservateurs artificiels, OGM. Non recommandé: femmes enceintes/allaitantes (données insuffisantes), enfants < 12 ans (données pédiatriques manquantes).","Real Pharm ISO 9001 GMP EFSA, Extrait Maca 4:1 ratio concentration validé, Gélatine bovine certifiée source","2 gélules (1000mg extrait) quotidien avec repas. Minimum 4-6 semaines cure résultats, optimal 8-12 semaines, longue durée sécurisée.",,,,,10,False,Maca - 90 Capsules | Real Pharm | Testo Boost Tunisie | D...,Maca: performances masculines au maximum. Boost naturel testostérone certifié. Expédition confidentielle Tunisie. garanti. Commander dès maintenant!
Fish Oil Omega-3 - 30 Capsules,GSN,sante-bien-etre,"Fish Oil Omega-3 de GSN fournit les acides aminés essentiels dont vos muscles ont besoin pour une récupération optimale et une croissance musculaire maximale. Que ce soit pendant l'entraînement ou en phase de récupération, ce produit protège vos muscles du catabolisme et accélère la synthèse prot...",gélule,30.0,30,Sans saveur (gélule softgel gélatine),"Santé cardiovasculaire cœur fonction normale, Triglycérides réduction cholestérol équilibre, Fonction cérébrale mémoire concentration, Vision normale rétine protection DHA, Anti-inflammatoire articulations douleurs réduites, Pression artérielle régulation naturelle, Humeur équilibre neurotransmetteurs soutien","CONTIENT: Poisson (huile extraite poissons gras), gélatine poisson/bovine. Traces possibles: crustacés, soja (atelier). Non recommandé personnes allergiques poisson, femmes enceintes (consultation médecin), enfants < 3 ans (adaptation dosage)","GSN Great Sport Nutrition marque tunisienne réputée, Huile poisson purification moléculaire distillée qualité pharma, Certification ISO 9001 GMP FSSC 22000 standards qualité","1 gélule quotidien avec repas. Minimum 4-8 semaines résultats, optimal 12-16 semaines cardiovasculaire longue durée",,,,,10,False,Fish Oil Omega-3 - 30 Capsules | GSN | BCAA Tunisie | Dod...,Fish Oil Omega-3: récupération musculaire optimale et anti-catabolisme. Acides aminés essentiels haute pureté. Qualité premium Tunisie. premium. Achetez dès ...
Mass Gainer Zero - 7kg,Eric Favre,gainers,"Mass Gainer Zero de Eric Favre est le mass gainer parfait pour les pratiquants de musculation en Tunisie qui ont du mal à prendre du poids et de la masse musculaire. Spécialement conçu pour les ectomorphes et les hard gainers, ce produit combine protéines de qualité et glucides complexes pour une...",kilogramme,7.0,50,Chocolat|Vanille|Cookies & Cream|Pistache,"Apport calorique élevé 517 kcal/dose 140g prise masse rapide, Sans sucres AJOUTÉS sucres naturels uniquement, Double source protéines Whey+Isolat croissance musculaire optimale, Double source glucides Maltodextrine+Glucose assimilation progressive, Limite prise graisse pendant phases prise masse, Convient sportifs surveillance glycémie, Fabriqué FRANCE normes strictes qualité","Contient: LAIT. Traces possibles: GLUTEN, ŒUFS, SÉSAME, NOIX, CÉLERI, SULFITES, SOJA, POISSON, CRUSTACÉS","Fabriqué France normes strictes qualité, N°1 salles sport France, Disponible pharmacies parapharmacies",3 cuillères doseuses (140g) dans 300-400ml eau ou lait,,,,,10,False,Mass Gainer Zero - 7kg | Eric Favre | Gainer Tunisie | Do...,Mass Gainer Zero: gagnez en masse musculaire rapidement. Formule complète haute densité calorique. Livraison express Tunisie. garanti. Commander dès maintenant!
Real Mass - 6.8kg,Real Pharm,gainers,"Real Mass de Real Pharm est le mass gainer parfait pour les pratiquants de musculation en Tunisie qui ont du mal à prendre du poids et de la masse musculaire. Spécialement conçu pour les ectomorphes et les hard gainers, ce produit combine protéines de qualité et glucides complexes pour une prise ...",kilogramme,6.8,90,Chocolat|Vanille|Banane|Fraise|Caramel|Tiramisu,"4 sources protéines absorption progressive optimale (rapide+lente), 282 kcal/dose apport énergétique élevé, BCAA 17.42g/100g protéines anti-catabolisme muscle, 4 sources glucides énergie immédiate+prolongée, EAA complets 37.19g/100g profil acides aminés, Glutamine 14g/100g récupération cellulaire, Amidon riz digestion facile sans irritation, Prix compétitif format 6.8kg rentable, Saveurs délicieuses Chocolat Vanille Banane Fraise Caramel Tiramisu","Contient: LAIT. Traces possibles: SOJA, GLUTEN, ŒUFS, POISSON, CRUSTACÉS, SULFITES. Non recommandé femmes enceintes/allaitantes enfants allergiques lait","Real Pharm qualité européenne, Composition pure sans fillers artificiels, Saveurs authentiques naturelles",75g (2 cuillères doseuses) dans 150-250ml eau ou lait. Consommer 2 fois/jour (après training + collation). Jusqu'à 4 fois/jour selon besoins (max 300g/jour),,,,,10,False,Real Mass - 6.8kg | Real Pharm | Gainer Tunisie | Dodo Nu...,Real Mass: calories optimales pour prise de masse. Protéines qualité et glucides complexes. Prix imbattable Tunisie. premium. Achetez dès aujourd'hui!
Real Mass Gold Edition - 3kg,Real Pharm,gainers,"Real Mass Gold Edition de Real Pharm est le mass gainer parfait pour les pratiquants de musculation en Tunisie qui ont du mal à prendre du poids et de la masse musculaire. Spécialement conçu pour les ectomorphes et les hard gainers, ce produit combine protéines de qualité et glucides complexes po...",kilogramme,3.0,40,Chocolat|Vanille|Vanille-Berry,"20% protéines concentration élevée vs Real Mass standard, 12 Vitamines couverture micronutriments optimale (C E A B-complex), 5 Minéraux essentiels (Ca Mg K P Na) équilibre électrolytes, Glucides sains Maltodextrine Dextrose Avoine énergie progressive, Croissance musculaire rapide phases prise masse, Récupération accélérée micronutriments antioxydants, Santé globale couverture nutritionnelle complète","Contient: LAIT (concentration élevée lait premium). Traces possibles: GLUTEN, SOJA, ŒUFS. Gélatine option. Non recommandé intolérants lactose sérieux","Real Pharm version Gold ingrédients qualité supérieure, Formule enrichie 12 vitamines 5 minéraux validation nutritionnelle","75g (2 cuillères) dans 250-300ml eau ou lait, 1-3 portions/jour selon besoins caloriques objectifs",,,,,10,False,Real Mass Gold Edition - 3kg | Real Pharm | Gainer Tunisi...,Real Mass Gold Edition: prise de masse rapide avec calories de qualité. Protéines complexes et glucides optimisés. Meilleur prix en Tunisie. Commandez!
Mag+ B-Complex - 30 Capsules,GSN,sante-bien-etre,"Mag+ B-Complex de GSN offre une formule complète de vitamines et minéraux essentiels pour soutenir votre santé globale, votre système immunitaire et optimiser vos performances sportives. Indispensable pour les athlètes qui s'entraînent intensément et ont des besoins nutritionnels accrus. 🎯 Bénéfi...",gélule,30.0,30,Sans saveur (gélule inerte),"Énergie métabolisme énergétique ATP production, Fonction musculaire contraction relaxation crampes prévention, Système nerveux transmission nerveuse équilibre, Réduction fatigue physique mentale chronique, Stress anxiété gestion équilibre psychologique, Sommeil qualité amélioration magnésium relaxation, Électrolytes équilibre hydratation performance","Aucun allergène principal (magnésium minéral synthétique vitamines). Traces possibles: gluten, soja (atelier). Non recommandé femmes enceintes/allaitantes (données limitées), enfants < 6 ans (adaptation dosage)","GSN Great Sport Nutrition marque tunisienne réputée, Magnésium Bisglycinate chélaté biodisponibilité certifié, Certifications ISO 9001 GMP FSSC 22000 qualité pharma","1 gélule quotidien avec repas. Minimum 4 semaines résultats, optimal 8-12 semaines, longue durée sécurisée",,,,,10,False,Mag+ B-Complex - 30 Capsules | GSN | Vitamines Tunisie | ...,Mag+ B-complex: vitalité et bien-être au quotidien. Vitamines et minéraux haute biodisponibilité. Disponible en Tunisie. premium. Achetez dès aujourd'hui!
Big Mass Gainer - 3kg,GSN,gainers,"Big Mass Gainer de GSN est le mass gainer parfait pour les pratiquants de musculation en Tunisie qui ont du mal à prendre du poids et de la masse musculaire. Spécialement conçu pour les ectomorphes et les hard gainers, ce produit combine protéines de qualité et glucides complexes pour une prise d...",kilogramme,3.0,17,Multiples: Chocolat|Fraise|Vanille (selon batch),"Apport calorique MASSIF 1351 kcal/dose prise masse rapide hard gainers ultra-difficiles, Protéines 80g densité ultra-concentrée synthèse musculaire optimale, Créatine 3g force explosive ATP production endurance, BCAA 18g anti-catabolisme protection muscle maigre, Glucides 250g énergie progressive entraînement soutenu, Double source protéines absorption duplex, Recovery post-training optimal micronutrients","CONTIENT: LAIT (whey protéines, caséinate), SOJA (lécithine). Traces: GLUTEN, ŒUFS, GRAINES SÉSAME, FRUITS À COQUE (atelier). NON RECOMMANDÉ: intolérance lactose grave, allergies dairy, végétaliens, enfants <12 ans.","GSN (Great Sport Nutrition) marque réputée fitness, Créatine Monohydrate certifiée, Whey Protein validé, GMP standards qualité",180g (2 scoops) dans 350ml eau/lait par dose = 1351 kcal. 1 dose/jour standard. 2 doses/jour accélération intensive prise mass (2702 kcal gainer). Cure 4-8 semaines prise mass rapide.,,,,,10,False,Big Mass Gainer - 3kg | GSN | Gainer Tunisie | Dodo Nutri...,Big Mass Gainer: calories optimales pour prise de masse. Protéines qualité et glucides complexes. Prix imbattable Tunisie. premium. Achetez dès aujourd'hui!
Muscle ON - 2.27kg,Real Pharm,gainers,"Muscle ON de Real Pharm est le mass gainer parfait pour les pratiquants de musculation en Tunisie qui ont du mal à prendre du poids et de la masse musculaire. Spécialement conçu pour les ectomorphes et les hard gainers, ce produit combine protéines de qualité et glucides complexes pour une prise ...",kilogramme,2.27,30,Chocolate Hazelnut|Strawberry Ice Cream|Vanilla|Banana|Caramel,"Ratio 45/45 optimal équilibré, 4 sources protéines absorption progressive, MCT oil énergie hépatique rapide, BCAA anti-catabolisme performance, Glutamine 4.2g récupération, 10 vitamines essentielles couverture micronutriments, 302 kcal/dose taille idéale (ni trop léger ni trop lourd), Saveurs gourmandes 5 options","Contient: LAIT. Traces possibles: SOJA, GLUTEN, ŒUFS. Non recommandé intolérants lactose graves.","Real Pharm qualité européenne, Composition équilibrée validée, Micronutriments ajoutés essentiels","75g (1 dosette) dans 250ml eau/lait, 1-2 doses/jour selon besoins caloriques. Post-training prioritaire.",,,,,10,False,Muscle ON - 2.27kg | Real Pharm | Gainer Tunisie | Dodo N...,Muscle ON: prise de masse rapide avec calories de qualité. Protéines complexes et glucides optimisés. Meilleur prix en Tunisie. certifié. Commandez dès maintena
Citrulline Malate - 200g,Real Pharm,acides-amines,"Citrulline Malate de Real Pharm fournit les acides aminés essentiels dont vos muscles ont besoin pour une récupération optimale et une croissance musculaire maximale. Que ce soit pendant l'entraînement ou en phase de récupération, ce produit protège vos muscles du catabolisme et accélère la synth...",gramme,200.0,66,Lemon Orange|Exotic|Raspberry-Strawberry|Forest Fruit,"NO production oxyde nitrique pump vasculaire intense, Circulation sanguine optimale nutriments-oxygène muscles, Précurseur arginine 50-100% plus efficace vs arginine directe, Endurance training prolongé sans fatigue extrême, Récupération accélérée ATP énergie cellulaire, Réduction ammoniaque sensation fatigue, Pompe musculaire visuelle intense congestion","AUCUN allergène principal. Traces: gluten soja (atelier partage). Non recommandé: grossesse/allaitement, hypertension grave, cardiopathie.","Real Pharm qualité européenne, L-Citrulline Malate 2:1 ratio validé, formule sûre EFSA","3g (1 dosette) dans 130-150ml eau, 1 fois/jour 30min AVANT training. Maximum 1 dose/jour recommandé (3g), ne pas dépasser.",,,,,10,False,Citrulline Malate - 200g | Real Pharm | BCAA Tunisie | Do...,Citrulline Malate: performances et endurance maximales. BCAA ratio optimal dosage clinique. Livraison rapide en Tunisie. garanti. Commander dès maintenant!
Ashwagandha 100% Naturel - 90g,Real Pharm,sante-bien-etre,"Ashwagandha 100% Naturel de Real Pharm est un complément de nutrition sportive de haute qualité conçu pour vous aider à atteindre vos objectifs fitness. Que vous soyez débutant ou athlète confirmé en Tunisie, ce produit vous apporte les nutriments essentiels pour performer et progresser. 🎯 Bénéfi...",comprimé,90.0,45,Sans saveur (gélule nature),"Réduction stress cortisol withanolides, Amélioration qualité sommeil relaxation, Vitalité énergie générale tonique, Support système nerveux équilibre émotionnel, Récupération post-training musculaire, Concentration focus mental amélioré, Support immunitaire antioxydants, Santé cardiaque tension artérielle","AUCUN allergène principal. Traces possibles: GLUTEN, SOJA (atelier). NON RECOMMANDÉ: femmes enceintes/allaitantes, enfants <12 ans, troubles thyroïdiens graves (consultation médicale).","Real Pharm ISO 9001, GMP (Good Manufacturing Practice), EFSA validation, Standardisation withanolides 7% certifiée","2 comprimés/jour dose standard (600mg). Minimum 1/jour maintenance. Maximum 4/jour tolérance établie. Cure 4-6 semaines résultats, optimal 8-12 semaines, longue durée sécurisée.",,,,,10,False,Ashwagandha 100% Naturel - 90g | Real Pharm | Vitamines T...,Ashwagandha 100% Naturel: soutenez votre santé et performances. Complexe vitaminé complet premium. Expédition rapide Tunisie. garanti. Commander dès maintenant!
Vitamin Shock - 300g,Real Pharm,sante-bien-etre,"Vitamin Shock 300g de Real Pharm offre une formule complète de vitamines et minéraux essentiels pour soutenir votre santé globale, votre système immunitaire et optimiser vos performances sportives. Indispensable pour les athlètes qui s'entraînent intensément et ont des besoins nutritionnels accru...",gramme,300.0,30,Unique (Orange ou Citron selon batch),"Immunitaire renforce défenses naturelles 25+ nutriments, Antioxydant C E polyphénols citrus protection cellulaire, Énergétique métabolisme optimal B vitamins ATP, Thermorégulation Thé Vert + Ashwagandha + NAC, Récupération post-training micronutriments essentiels réparation musculaire, Performance mentale focus concentration B6 B12 folate, Santé cardiaque magnésium calcium potassium régulation, Support osseux densité calcium magnésium manganèse","PEUT CONTENIR: GLUTEN (atelier partagé équipement). AUCUN allergène principal principal. Non recommandé: femmes enceintes/allaitantes (consultation), enfants <10 ans (surdosage possibilité), personnes troubles thyroïdiens graves (iode 450µg vigilance).","Real Pharm ISO 9001, GMP (Good Manufacturing Practice), EFSA validation multivitamines, Standardisation Ashwagandha 7% withanolides, Thé Vert polyphénols 40% certifiés",1 dose 10g dans 200-250ml eau par jour. Maximum 1 dose/jour (iode 450µg vigilance thyroïde). Anytime flexible nutrition quotidienne. Cure continue sans interruption sauf consultation médecin.,,,,,10,False,Vitamin Shock - 300g | Real Pharm | Vitamines Tunisie | D...,Vitamin Shock: énergie quotidienne et immunité renforcée. Nutriments essentiels dosage optimal. Livraison express en Tunisie. garanti. Commander dès maintenant!
